iteration,train_precision,train_recall,train_f1,train_avg_reads,mean_return,avg_step_reward,eval_precision,eval_recall,eval_f1,eval_avg_reads,policy_loss,value_loss,entropy,kl_from_bc,kl_coeff
1,0.507014,0.508589,0.507800,2.441,2.280531,0.513559,0.6583990980834273,0.6410537870472008,0.6496106785317018,2.3669112741827885,-0.015966836157441138,2.3102267283916476,1.2106435705184937,0.42872476996183395,0.06
2,0.479753,0.542479,0.509191,2.734,2.434945,0.520056,0.6616071428571428,0.6100439077936334,0.63478012564249,2.2414943295530354,0.009527852204776678,2.083765879409085,1.3074874096466667,0.7591151893534591,0.12
3,0.464110,0.535466,0.497241,2.806,2.377129,0.500156,0.6625,0.6254116355653129,0.6434217955957087,2.294863242161441,0.03132252887682084,1.7535715179061253,1.1852925904707703,0.4458227694112535,0.24
4,0.477770,0.522686,0.499220,2.680,2.317326,0.496586,0.659988551803091,0.632821075740944,0.6461193611655927,2.330887258172115,0.025431419288307975,1.4760666369664959,1.103455522074932,0.2597581108367616,0.24
5,0.484124,0.507313,0.495447,2.549,2.288010,0.503595,0.6578799775659002,0.6437980241492866,0.6507628294036062,2.3789192795196796,0.010665632883474488,1.4534799530285998,1.102162692934881,0.21151701644272872,0.24
6,0.483837,0.503842,0.493637,2.531,2.233667,0.493469,0.6592194570135747,0.639681668496158,0.6493036211699164,2.3589059372915275,0.008427832930625141,1.3150847383323045,1.0949521974267167,0.18934047266876025,0.24
7,0.482382,0.502201,0.492092,2.524,2.183617,0.483314,0.6588971006253553,0.6361141602634468,0.6473052220050265,2.3468979319546364,0.00823431406111556,1.2245911711463764,1.1028612609308377,0.20211675680541205,0.24
8,0.486061,0.494366,0.490178,2.488,2.174244,0.485058,0.6581920903954802,0.6394072447859495,0.6486636971046771,2.361574382921948,0.0022746119633458685,1.239583337351845,1.131868284378679,0.2044221978463386,0.24
9,0.478269,0.495022,0.486501,2.496,2.125883,0.473377,0.6569506726457399,0.6432491767288694,0.6500277315585135,2.38025350233489,0.0031321608546909085,1.1991828598223533,1.1221538001223454,0.2243536590286118,0.24
10,0.480028,0.502740,0.491122,2.549,2.216845,0.488314,0.6592446448703495,0.6418770581778266,0.6504449388209121,2.3669112741827885,0.006877663680855097,1.293688998174313,1.1463316115601707,0.24052196379068871,0.24
11,0.470928,0.491052,0.480780,2.539,2.113962,0.467070,0.6558513588463671,0.6490120746432492,0.6524137931034483,2.4056037358238824,0.005027640685497592,1.2239295282464013,1.1623959609627537,0.2613178981260471,0.24
12,0.465998,0.491423,0.478373,2.570,2.138023,0.469434,0.6566666666666666,0.6487376509330406,0.6526780784097184,2.401601067378252,0.005968914421016638,1.2953340245204485,1.1731418312618773,0.27981043330360317,0.24
13,0.462633,0.492878,0.477277,2.594,2.091174,0.457184,0.6566332218506131,0.6465422612513722,0.6515486725663717,2.3935957304869913,0.009064184484386333,1.2534817698444958,1.185394269126014,0.3167575676208521,0.24
14,0.468048,0.499447,0.483238,2.574,2.173074,0.476990,0.6565964523281597,0.6501097694840834,0.6533370104798677,2.4069379586390927,0.012281203489930786,1.3594921738629966,1.2079327006514842,0.3484677171186426,0.24
15,0.462608,0.494741,0.478135,2.622,2.114043,0.459637,0.6578360290016732,0.6473655323819978,0.6525587828492393,2.392261507671781,0.01134380808465724,1.2597077272406316,1.2186965149189626,0.3561831095199773,0.24
